;;2006 - 2008;2009 - 2011;2012 - 2013;2014 - 2015;2016 - 2017;2018 - 2019;2020 - 2021;FINO AL 2005;NON DEFINITO;Somma:
PARMA;MONTECHIARUGOLO;1.134;1.280;704;883;1.097;1.147;745;2.817;1;9.808
PARMA;NEVIANO DEGLI ARDUINI;476;493;206;244;295;317;213;1.576;1;3.821
PARMA;NOCETO;1.367;1.473;834;1.089;1.298;1.348;975;3.371;1;11.756
PARMA;NON DEFINITO PR;4;-;-;1;-;-;-;49;-;54
PARMA;PALANZANO;135;142;56;88;100;75;66;529;1;1.192
PARMA;PARMA;17.785;20.511;11.534;14.139;18.562;19.873;14.798;46.901;74;164.177
PARMA;PELLEGRINO PARMENSE;131;104;48;73;76;80;37;510;-;1.059
PARMA;POLESINE ZIBELLO;365;350;169;226;259;280;207;1.152;-;3.008
PARMA;ROCCABIANCA;382;328;168;211;274;261;137;1.060;2;2.823
PARMA;SALA BAGANZA;603;652;351;409;586;593;414;1.488;1;5.097
PARMA;SALSOMAGGIORE TERME;2.279;2.280;1.101;1.297;1.653;1.695;1.174;6.116;4;17.599
PARMA;SAN SECONDO PARMENSE;614;590;311;425;559;502;374;1.469;-;4.844
PARMA;SISSA TRECASALI;867;888;462;598;764;752;470;2.506;2;7.309
PARMA;SOLIGNANO;224;202;107;132;160;196;114;713;2;1.850
PARMA;SORAGNA;509;541;268;358;466;485;323;1.416;1;4.367
PARMA;SORBOLO MEZZANI;1.364;1.471;839;926;1.275;1.341;869;3.286;3;11.374
PARMA;TERENZO;143;138;78;91;105;105;65;457;1;1.183
PARMA;TIZZANO VAL PARMA;259;230;108;148;147;169;131;1.090;1;2.283
PARMA;TORNOLO;151;135;72;64;90;72;51;400;-;1.035
PARMA;TORRILE;837;905;522;663;845;894;568;1.828;-;7.062
PARMA;TRAVERSETOLO;1.101;1.128;556;688;933;928;698;2.784;2;8.818
PARMA;VALMOZZOLA;73;66;30;39;46;54;23;290;1;622
PARMA;VARANO DE' MELEGARI;360;334;169;224;280;265;198;1.200;3;3.033
PARMA;VARSI;177;144;61;94;113;89;70;676;-;1.424
PIACENZA;AGAZZANO;229;217;104;107;191;181;93;700;3;1.825
PIACENZA;ALSENO;514;568;360;366;455;445;295;1.649;5;4.657
PIACENZA;ALTA VAL TIDONE;355;349;192;198;269;256;134;1.332;2;3.087
PIACENZA;BESENZONE;96;96;74;58;73;78;57;331;2;865
PIACENZA;BETTOLA;300;308;137;186;199;184;141;1.267;3;2.725
PIACENZA;BOBBIO;438;419;188;203;309;305;210;1.414;2;3.488
PIACENZA;BORGONOVO VAL TIDONE;776;829;432;511;674;655;416;2.211;2;6.506
PIACENZA;CADEO;730;690;367;407;549;519;391;1.844;3;5.500
PIACENZA;CALENDASCO;331;286;161;200;272;272;204;875;3;2.604
PIACENZA;CAORSO;566;557;316;356;500;472;308;1.371;3;4.449
