;;ALTRE;BENZINA;BENZINA E GAS LIQUIDO;BENZINA E METANO;ELETTRICITA;GASOLIO;GASOLIO E GAS;IBRIDO BENZINA;IBRIDO GASOLIO;METANO;NON DEFINITO;Somma:
PARMA;COMPIANO;-;375;51;59;1;327;-;20;10;8;-;851
PARMA;CORNIGLIO;-;448;97;75;-;690;-;46;8;17;-;1.381
PARMA;FELINO;-;2.234;549;475;38;2.587;-;274;37;103;-;6.297
PARMA;FIDENZA;-;6.089;1.592;1.385;56;7.097;-;559;105;250;-;17.133
PARMA;FONTANELLATO;-;1.729;436;334;14;2.230;-;160;30;72;-;5.005
PARMA;FONTEVIVO;-;1.418;419;319;15;1.611;-;135;34;70;-;4.021
PARMA;FORNOVO DI TARO;1;1.371;317;419;17;1.810;-;157;17;58;-;4.167
PARMA;LANGHIRANO;1;2.479;600;532;27;3.252;-;284;55;123;-;7.353
PARMA;LESIGNANO DE BAGNI;-;1.223;416;340;12;1.674;-;168;35;67;-;3.935
PARMA;MEDESANO;3;2.697;663;625;21;3.577;-;267;45;117;-;8.015
PARMA;MONCHIO DELLE CORTI;-;230;30;27;2;316;-;23;2;3;-;633
PARMA;MONTECHIARUGOLO;-;2.594;831;711;45;2.976;-;345;61;148;1;7.712
PARMA;NEVIANO DEGLI ARDUINI;-;873;197;272;3;1.254;-;78;10;44;-;2.731
PARMA;NOCETO;1;3.280;862;747;46;3.685;-;376;59;162;-;9.218
PARMA;NON DEFINITO PR;-;14;1;4;-;10;-;-;-;-;-;29
PARMA;PALANZANO;-;292;45;42;-;400;-;21;3;7;1;811
PARMA;PARMA;6;50.356;14.166;8.234;845;40.163;-;7.983;1.127;1.911;-;124.791
PARMA;PELLEGRINO PARMENSE;-;314;59;66;2;306;-;12;2;6;-;767
PARMA;POLESINE ZIBELLO;1;886;181;65;8;1.050;-;65;9;25;-;2.290
PARMA;ROCCABIANCA;-;789;215;128;11;1.047;-;61;13;25;-;2.289
PARMA;SALA BAGANZA;-;1.417;367;289;20;1.606;-;190;32;54;-;3.975
PARMA;SALSOMAGGIORE TERME;1;5.269;1.276;1.159;56;5.323;-;414;87;199;-;13.784
PARMA;SAN SECONDO PARMENSE;1;1.298;376;235;14;1.705;-;153;20;67;-;3.869
PARMA;SISSA TRECASALI;-;1.984;537;353;18;2.429;-;223;24;114;-;5.682
PARMA;SOLIGNANO;-;408;112;104;4;573;-;27;10;28;-;1.266
PARMA;SORAGNA;-;1.117;303;207;12;1.537;-;100;24;43;-;3.343
PARMA;SORBOLO MEZZANI;-;3.342;1.001;509;52;3.436;-;394;53;96;-;8.883
PARMA;TERENZO;-;290;77;91;-;396;-;23;5;12;-;894
PARMA;TIZZANO VAL PARMA;-;557;111;95;4;785;-;50;8;21;-;1.631
PARMA;TORNOLO;-;317;45;60;-;284;-;11;4;7;-;728
PARMA;TORRILE;-;1.889;639;290;22;2.189;-;252;50;65;-;5.396
PARMA;TRAVERSETOLO;-;2.174;595;644;23;2.788;-;267;57;111;-;6.659
PARMA;VALMOZZOLA;-;140;40;39;2;187;-;12;-;4;-;424
PARMA;VARANO DE' MELEGARI;1;777;159;183;3;923;-;57;13;32;-;2.148
PARMA;VARSI;-;397;62;64;1;439;-;15;6;6;-;990
PIACENZA;AGAZZANO;-;531;155;32;4;632;-;37;8;5;-;1.404
PIACENZA;ALSENO;-;1.259;324;211;9;1.559;-;100;17;32;-;3.511
PIACENZA;ALTA VAL TIDONE;1;973;108;26;5;967;-;78;19;6;-;2.183
PIACENZA;BESENZONE;-;219;60;25;1;369;-;15;1;4;-;694
PIACENZA;BETTOLA;-;830;203;31;2;804;-;62;6;11;-;1.949
PIACENZA;BOBBIO;1;1.077;169;35;3;964;-;83;16;13;-;2.361
PIACENZA;BORGONOVO VAL TIDONE;-;2.181;370;105;15;2.319;-;168;26;16;-;5.200
PIACENZA;CADEO;-;1.564;418;170;8;1.949;-;148;23;34;-;4.314
PIACENZA;CALENDASCO;-;668;193;58;9;731;1;67;13;9;-;1.749
PIACENZA;CAORSO;-;1.188;315;113;17;1.491;-;126;39;20;-;3.309
PIACENZA;CARPANETO PIACENTINO;-;2.021;457;193;14;2.469;-;172;35;43;-;5.404
PIACENZA;CASTELL'ARQUATO;1;1.228;261;127;17;1.565;-;112;24;20;-;3.355
PIACENZA;CASTEL SAN GIOVANNI;-;3.733;559;189;20;3.950;-;367;48;40;-;8.906
PIACENZA;CASTELVETRO PIACENTINO;-;1.664;217;63;17;1.637;-;162;32;21;-;3.813
PIACENZA;CERIGNALE;-;38;7;2;-;29;-;-;-;2;-;78
PIACENZA;COLI;-;291;67;15;2;272;-;17;2;4;-;670
PIACENZA;CORTE BRUGNATELLA;-;189;18;2;1;223;-;15;4;1;-;453
PIACENZA;CORTEMAGGIORE;-;1.037;257;88;14;1.456;-;101;15;18;-;2.986
PIACENZA;FARINI;-;385;40;11;-;406;-;25;-;3;-;870
PIACENZA;FERRIERE;-;383;47;8;1;408;-;26;7;-;-;880
PIACENZA;FIORENZUOLA D'ARDA;-;3.810;818;446;33;4.204;-;322;59;74;-;9.766
PIACENZA;GAZZOLA;-;536;174;39;12;697;-;83;23;12;-;1.576
PIACENZA;GOSSOLENGO;-;1.621;535;136;16;1.417;-;228;28;22;-;4.003
PIACENZA;GRAGNANO TREBBIENSE;-;1.164;366;104;14;1.366;-;102;19;22;-;3.157
